Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
2010,0.272,0.49,0.59,0.16,0.324,0.177,0.269,0.957,0.618,0.549,0.595,0.262,1.191,0.394,0.192,0.335,0.909,0.431,0.518,0.524,3.566,2.815,3.567,1.547,2.94,2.659,4.423,1.138,3.707,5.986,3.545,4.602,0.95,0.857,1.459,1.585,0.564,0.619,0.083,0.756,1.607,2.687,0.843,2.355,1.847,1.161,1.087,0.4,2.262,1.256,0.947,1.299,0.595,2.402,2.184,1.647,1.302,1.803,2.693,1.229,3.577,1.752,2.078,0.526,1.497,0.788,1.129,1.556,2.253,1.584,1.052,1.738,1.41,1.084,1.188,1.855,1.863,0.658,1.773,0.865
2009,0.235,0.484,0.92,0.224,0.284,0.264,0.441,0.933,0.813,0.871,0.562,0.351,1.137,0.425,0.141,0.593,0.791,0.306,0.377,0.686,2.808,2.635,5.724,2.057,2.765,3.886,5.724,0.815,1.988,4.88,7.245,5.293,0.39,1.123,1.748,1.779,0.827,0.743,0.131,0.399,2.261,2.216,0.826,3.091,1.405,1.646,1.609,0.61,2.261,1.278,0.625,0.706,0.503,0.888,1.401,1.116,0.498,1.064,0.521,0.601,4.492,1.493,3.016,0.811,1.153,1.053,1.204,0.9,2.269,1.852,1.111,0.96,0.65,1.437,1.064,0.96,1.265,0.602,1.812,3.887
2008,0.17,0.214,0.516,0.224,0.271,0.154,0.421,0.677,0.515,0.534,0.51,0.33,0.959,0.406,0.161,0.36,0.73,0.29,0.285,0.396,3.013,2.435,7.045,1.798,2.925,3.242,3.513,1.534,1.257,2.823,4.593,3.739,0.182,0.594,0.714,0.944,0.221,0.344,0.361,0.114,1.076,1.486,0.385,1.118,0.907,0.846,0.627,0.159,0.664,0.504,0.428,0.681,0.336,0.917,1.467,0.993,0.581,0.714,0.953,0.701,3.811,1.16,2.18,0.512,0.793,0.696,1.593,1.752,2.344,1.073,0.866,1.232,1.448,1.674,0.783,1.986,1.311,0.351,3.688,0.137
2007,0.229,0.572,0.766,0.179,0.162,0.236,0.361,0.793,0.64,0.728,0.482,0.405,1.126,0.622,0.21,0.515,0.545,0.311,0.347,0.428,2.579,2.097,6.732,1.556,2.569,2.258,4.024,3.187,1.346,4.427,2.101,6.174,0.144,2.261,0.973,1.605,1.422,0.704,0.138,0.674,1.563,2.112,0.6,2.688,1.016,2.429,0.717,0.629,0.711,1.264,0.998,1.102,0.588,1.781,1.461,1.574,0.826,1.483,1.154,1.262,4.573,2.458,3.557,1.135,1.754,1.816,1.638,2.031,3.998,2.49,2.597,2.665,3.685,3.443,3.061,3.885,4.269,2.156,0.536,0.178
2006,0.116,0.458,0.439,0.064,0.223,0.04,0.054,0.746,0.504,0.163,0.425,0.169,0.566,0.282,0.06,0.37,0.542,0.359,0.389,0.524,1.611,2.079,4.875,0.552,1.701,0.827,2.756,2.025,0.993,2.698,1.285,4.554,0.237,1.471,0.249,0.695,0.484,1.225,0.063,0.202,2.073,0.969,0.187,1.086,1.284,0.784,0.365,0.129,0.2,0.47,0.143,0.084,0.219,0.456,0.844,0.453,0.287,0.294,1.019,0.385,1.925,0.454,1.165,0.336,0.803,0.339,1.169,1.798,2.255,1.169,0.38,0.147,0.765,0.225,0.495,0.881,0.871,0.314,0.377,1.123
2005,0.116,0.503,0.467,0.252,0.331,0.149,0.216,0.919,0.599,0.553,0.673,0.384,1.227,0.504,0.177,0.441,0.601,0.343,0.678,0.443,2.97,3.34,2.261,1.954,2.074,2.785,4.716,2.72,1.98,4.126,1.899,4.429,0.482,1.142,0.884,0.799,0.454,0.821,0.239,0.397,1.19,0.915,0.224,0.658,0.64,0.722,0.691,0.248,0.255,0.408,0.479,1.078,0.485,1.447,2.083,1.322,1.177,1.18,1.798,0.539,2.549,0.497,1.14,0.62,1.046,0.838,2.328,0.273,2.541,0.924,1.125,0.571,2.154,0.296,1.072,1.672,2.028,1.221,1.859,1.684
2004,0.381,0.672,0.52,0.065,0.582,0.265,0.188,1.037,0.664,0.904,0.867,0.324,1.65,0.542,0.195,0.69,0.858,0.432,0.619,0.715,3.293,2.657,4.046,1.719,2.412,2.518,5.066,3.041,1.252,3.563,1.486,4.847,0.758,2.583,0.865,1.174,0.487,2.295,0.417,0.478,0.876,1.069,0.392,1.043,1.047,0.684,1.18,0.224,0.521,0.547,1.049,1.747,0.638,2.585,3.688,2.677,1.816,1.289,1.543,0.89,2.516,0.597,1.576,0.888,0.701,0.788,1.239,0.706,2.133,0.959,1.416,1.767,2.137,1.346,1.95,2.483,3.097,1.843,2.394,1.511
2003,0.233,0.168,0.153,0.101,0.252,0.173,0.273,0.708,0.653,0.494,0.628,0.272,0.783,0.453,0.084,0.329,0.957,0.285,0.357,0.473,2.537,2.573,5.624,2.019,2.109,2.582,5.413,3.893,2.677,3.779,1.66,4.692,1.246,4.439,0.846,1.526,1.512,2.681,0.144,0.136,0.78,0.715,0.337,0.55,1.016,0.452,0.9,0.131,0.34,0.649,0.957,1.06,0.648,1.223,1.706,1.865,1.437,0.965,0.688,0.515,1.853,0.383,1.174,0.449,0.715,0.541,0.452,1.155,1.457,0.708,0.688,2.065,1.686,1.287,1.872,1.737,2.239,1.572,1.685,1.134
2002,0.092,0.598,0.495,0.026,0.634,0.134,0.076,0.418,0.155,0.494,0.913,0.322,0.916,0.314,0.015,0.461,0.481,0.416,0.696,0.395,2.366,2.938,5.546,1.506,1.793,1.558,4.009,2.425,2.54,3.619,0.329,1.156,0.45,0.565,0.211,0.361,0,0.53,0.035,0,0.489,0.452,0.701,0.239,0.099,0.107,0.348,0.074,0,0.245,0.443,0.476,0.251,0.585,0.852,0.981,0.339,0.604,0.824,0.366,0.851,0.02,0.02,0,0,0.061,0.314,1.741,0.61,0,0.081,0.04,0.122,1.448,0.024,0.043,0.301,0,0.149,0.021
2001,0.285,0.278,0.365,0.182,0.525,0.096,0.306,0.55,0.532,0.531,0.903,0.319,0.967,0.705,0.19,0.372,0.593,0.337,0.715,0.6,2.817,3.665,9.35,3.124,2.817,2.855,6.102,1.677,3.979,5.33,1.129,3.752,0.392,1.47,1.06,1.962,1.521,1.145,1.123,4.118,1.084,2.309,0.792,1.321,2.353,1.139,2.131,0.543,0.762,1.175,0.693,0.606,0.565,0.62,0.93,1.148,0.914,0.833,1.001,0.448,2.305,0.585,0.796,0.308,0.475,0.643,5.311,1.41,1.665,0.534,1.441,1.661,1.715,1.493,1.695,2.027,2.446,0.929,2.86,1.199
