SampleID,d13CVPDB,TotalC,C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
WT1-148-20,-24.18,601.41,,PIPO-2020-WUE,E12,wood,13C,1.4,1804155,518935,Q
WT2-77-20,-24.51,712.67,,PIPO-2020-WUE,F1,wood,13C,1.5,1804156,518942,Q
WT2-78-20,-24.28,701.57,,PIPO-2020-WUE,F2,wood,13C,1.6,1804157,518943,Q
WT2-79-20,-24.37,926.99,,PIPO-2020-WUE,F3,wood,13C,1.3,1804158,518944,Q
WT2-80-20,-23.88,765.89,,PIPO-2020-WUE,F4,wood,13C,1.7,1804159,518945,Q
WT2-81-20,-24.8,725.99,,PIPO-2020-WUE,F5,wood,13C,1.7,1804160,518946,Q
WT2-82-20,-24.47,734.86,,PIPO-2020-WUE,F6,wood,13C,1.7,1804161,518947,Q
WT2-83-20,-23.5,576.86,,PIPO-2020-WUE,F7,wood,13C,1.3,1804162,518948,Q
WT2-149-20,-24.7,694.91,,PIPO-2020-WUE,F8,wood,13C,1.4,1804163,518949,Q
WT2-150-20,-23.72,761.46,,PIPO-2020-WUE,F9,wood,13C,1.7,1804164,518950,Q
WT2-151-20,-24.12,628.16,,PIPO-2020-WUE,F10,wood,13C,1.4,1804165,518951,Q
HM1-51-20,-24.39,803.51,,PIPO-2020-WUE,F11,wood,13C,1.6,1804166,518952,Q
HM1-52-20,-24.83,632.62,,PIPO-2020-WUE,F12,wood,13C,1.5,1804167,518953,Q
HM1-53-20,-26.09,592.48,,PIPO-2020-WUE,G1,wood,13C,1.2,1804168,518958,Q
HM1-55-20,-24.01,686.02,,PIPO-2020-WUE,G2,wood,13C,1.5,1804169,518959,Q
HM1-99-20,-24.92,583.56,,PIPO-2020-WUE,G3,wood,13C,1.2,1804170,518960,Q
HM1-111-20,-24.04,723.77,,PIPO-2020-WUE,G4,wood,13C,1.5,1804171,518961,Q
HM1-112-20,-24.56,657.11,,PIPO-2020-WUE,G5,wood,13C,1.3,1804172,518962,Q
HM1-136-20,-25.6,654.88,,PIPO-2020-WUE,G6,wood,13C,1.4,1804173,518963,Q
HM1-137-20,-24.23,699.35,,PIPO-2020-WUE,G7,wood,13C,1.4,1804174,518964,Q
HM1-138-20,-24.57,634.84,,PIPO-2020-WUE,G8,wood,13C,1.4,1804175,518965,Q
