site,tree,Year,Area
BD,160,2018,0.01
BD,160,2018,0.01
BD,160,2018,0.012
BD,160,2018,0.013
BD,160,2018,0.015
BD,160,2018,0.016
BD,160,2018,0.016
BD,160,2018,0.016
BD,160,2018,0.016
BD,160,2018,0.017
BD,160,2018,0.018
BD,160,2018,0.022
BD,160,2018,0.023
BD,160,2018,0.025
BD,160,2018,0.026
BD,160,2018,0.029
BD,160,2019,0.014
BD,160,2019,0.017
BD,160,2019,0.018
BD,160,2019,0.02
BD,160,2020,0.023
BD,161,2000,0.008
BD,161,2000,0.016
BD,161,2000,0.018
BD,161,2000,0.019
BD,161,2000,0.019
BD,161,2000,0.019
BD,161,2000,0.019
BD,161,2000,0.021
BD,161,2000,0.032
BD,161,2001,0.008
BD,161,2001,0.008
BD,161,2001,0.008
BD,161,2001,0.008
BD,161,2001,0.026
BD,161,2001,0.038
BD,161,2002,0
BD,161,2003,0.011
BD,161,2003,0.014
BD,161,2003,0.017
BD,161,2003,0.018
BD,161,2003,0.019
BD,161,2003,0.021
BD,161,2003,0.021
BD,161,2003,0.021
BD,161,2003,0.021
BD,161,2003,0.023
BD,161,2003,0.024
BD,161,2003,0.025
BD,161,2003,0.027
BD,161,2003,0.03
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2003,0.032
BD,161,2004,0.018
BD,161,2004,0.02
BD,161,2004,0.034
BD,161,2004,0.035
BD,161,2004,0.045
BD,161,2005,0.014
BD,161,2005,0.019
BD,161,2005,0.019
BD,161,2005,0.019
BD,161,2005,0.019
BD,161,2005,0.021
BD,161,2006,0.011
BD,161,2007,0.016
BD,161,2007,0.019
BD,161,2007,0.019
BD,161,2007,0.019
BD,161,2007,0.019
BD,161,2007,0.02
BD,161,2007,0.02
BD,161,2007,0.02
BD,161,2007,0.02
BD,161,2007,0.021
BD,161,2007,0.021
BD,161,2007,0.021
BD,161,2007,0.021
BD,161,2007,0.023
BD,161,2007,0.025
BD,161,2007,0.027
BD,161,2007,0.029
BD,161,2008,0.018
BD,161,2008,0.02
BD,161,2008,0.026
BD,161,2008,0.028
BD,161,2008,0.031
BD,161,2009,0.014
BD,161,2009,0.016
BD,161,2009,0.016
BD,161,2009,0.016
BD,161,2009,0.016
BD,161,2009,0.023
BD,161,2009,0.025
BD,161,2009,0.034
BD,161,2010,0.006
BD,161,2010,0.013
BD,161,2010,0.013
BD,161,2010,0.013
BD,161,2010,0.013
BD,161,2010,0.017
BD,161,2010,0.018
BD,161,2010,0.018
BD,161,2010,0.018
BD,161,2010,0.018
